15;4,2;3,3;41;43;39;23;29;39;1;0;
17;3,7;4,1;30;39;30;33;29;44;0;1;
21;4,3;3,8;65;47;42;25;46;43;1;0;
18;3,9;3,7;46;39;28;25;39;35;1;0;
19;3,2;3,1;43;47;21;25;34;41;1;0;
14;4,1;4,7;45;43;37;28;33;42;1;0;
18;2,9;4,7;43;49;20;29;36;39;0;1;
19;3,6;4,4;43;48;25;38;33;36;0;1;
18;3,9;3,3;43;50;24;24;36;39;0;1;
18;3,5;3,6;44;46;22;29;42;38;1;0;
20;5,7;3,9;49;56;35;40;40;44;0;1;
19;3,9;4,2;54;51;33;23;44;42;1;0;
18;4,3;3,9;41;49;41;28;28;33;1;0;
20;4,3;3,2;39;46;28;20;30;38;1;0;
18;4,1;4,3;51;39;21;42;45;28;0;1;
14;3,8;3,9;56;38;38;34;44;43;0;1;
20;5,9;3,4;49;46;36;28;41;39;0;1;
19;3,1;3,4;51;45;26;23;40;43;1;0;
18;4,2;4,2;47;42;38;26;35;37;1;0;
18;4,7;3,2;50;34;30;24;39;32;1;0;
18;3,3;3,1;50;34;20;22;37;32;1;0;
14;4,2;4,8;39;41;28;31;35;40;1;0;
14;3,3;4,3;47;36;21;40;44;35;0;1;
17;6,1;3,3;45;49;36;26;41;39;0;1;
14;3,6;3,2;42;48;33;30;45;41;1;0;
20;4,5;3,5;38;52;41;38;29;45;0;1;
18;4,2;4,3;39;51;28;21;32;43;1;0;
18;4,2;3,3;51;52;21;23;43;38;1;0;
18;3,3;4,2;49;39;37;28;42;33;1;0;
18;3,3;4,1;48;37;29;38;41;31;0;1;
19;3,3;3,6;44;43;27;33;39;46;0;1;
20;4,0;5,9;42;44;37;36;35;40;1;0;
18;4,9;3,4;41;50;28;22;39;46;1;0;
19;3,7;4,4;46;41;23;28;35;36;0;1;
